Reference, Quantity, Value, Footprint, Datasheet
BZ1 ,1,"Buzzer","Buzzer_Beeper:MagneticBuzzer_ProSignal_ABI-010-RC",""
C1 ,1,"22uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
C5 ,1,"10uF","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
C6 ,1,"100nF","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm",""
C7 ,1,"220uF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
C8 C10 C11 C12 ,4,"0.1uF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
C9 ,1,"220pF","Capacitor_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm",""
D1 D2 D3 ,3,"BAT85","Diode_THT:D_A-405_P2.54mm_Vertical_KathodeUp","https://assets.nexperia.com/documents/data-sheet/BAT85.pdf"
D5 ,1,"POWER LED","LED_THT:LED_D3.0mm",""
D6 ,1,"1N4148","Diode_THT:D_A-405_P2.54mm_Vertical_KathodeUp",""
D7 ,1,"RED LED","LED_THT:LED_D3.0mm",""
D8 ,1,"GREEN LED","LED_THT:LED_D3.0mm",""
H1 H2 ,2,"MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965_Pad_TopBottom",""
J1 ,1,"Conn_Probe","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",""
J2 ,1,"Conn_24v_in_out","TerminalBlock_Phoenix:TerminalBlock_Phoenix_PT-1,5-4-3.5-H_1x04_P3.50mm_Horizontal",""
J3 ,1,"ICSP","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
JP1 JP2 ,2,"Jumper_3_Bridged12","Jumper:SolderJumper-3_P1.3mm_Bridged2Bar12_RoundedPad1.0x1.5mm",""
L1 ,1,"330uH","Inductor_THT:L_Axial_L9.5mm_D4.0mm_P2.54mm_Vertical_Fastron_SMCC",""
LED1 ,1,"LED_Dual_AAK","",""
Q1 Q2 ,2,"2N3906","Package_TO_SOT_THT:TO-92_HandSolder","https://www.onsemi.com/pub/Collateral/2N3906-D.PDF"
R1 R2 R3 R8 ,4,"20K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
R10 ,1,"220K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
R12 R14 R16 ,3,"10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
R5 R7 R13 ,3,"1K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
R6 R15 ,2,"2K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
R9 R11 ,2,"47K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P2.54mm_Vertical",""
RV1 ,1,"2KΩ","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
RV2 ,1,"10K","Potentiometer_THT:Potentiometer_Bourns_3296W_Vertical",""
SW1 ,1,"SW_Push_Open","",""
U1 ,1,"LM358P","Package_DIP:DIP-8_W7.62mm","LM358P"
U2 ,1,"LM2574N-5","Package_DIP:DIP-8_W7.62mm","http://www.national.com/ds/LM/LM2574.pdf"
U4 ,1,"SN74LS02N","Package_DIP:DIP-14_W7.62mm","SN74LS02N"
U5 ,1,"ATtiny85-20S","Package_DIP:DIP-8_W7.62mm","http://ww1.microchip.com/downloads/en/DeviceDoc/atmel-2586-avr-8-bit-microcontroller-attiny25-attiny45-attiny85_datasheet.pdf"
U6 ,1,"SN7407N","Package_DIP:DIP-14_W7.62mm","SN7407N"
